,importance
ionic_radius_pm_cn8,0.36781082
charge_density_z_per_pm3,0.25379768
aromaticity,0.06141333
atomic_number,0.05859763
length,0.056583013
ef3_motif_pos2_T,0.012332955
ef1_motif_pos5_K,0.010846551
ef3_motif_pos0_S,0.0086182095
ef4_motif_pos5_K,0.007828015
pct_N,0.00774749
ef1_motif_pos5_T,0.0070379307
ef4_motif_pos5_MISSING,0.0067624454
gravy,0.0061666444
isoelectric_point,0.0059497487
is_lanthanide,0.005355858
charge_at_pH7,0.004741762
ef4_motif_pos2_N,0.0045291753
ef2_motif_pos0_S,0.004295565
ef1_motif_pos2_N,0.00424565
ef2_motif_pos0_A,0.0041887364
pct_D,0.004178482
molecular_weight,0.0037755063
pct_K,0.0034945642
acidic_basic_ratio,0.0033922717
instability_index,0.0029826607
ef1_motif_pos0_P,0.0028134428
ef3_motif_pos0_A,0.0028018088
ef3_motif_pos2_S,0.0027109953
ef2_motif_pos2_K,0.002683669
ef2_motif_pos2_H,0.0026329325
ef3_motif_pos2_R,0.0025644447
ef3_motif_pos0_P,0.0025021085
ef3_motif_pos0_MISSING,0.0022956165
pct_T,0.002291304
hydrophobicity_pct,0.0021028877
ef1_motif_pos2_K,0.002051282
ef_hand_spacing_stdev,0.0020449543
ef4_motif_pos0_MISSING,0.0020050907
ef1_motif_pos0_L,0.0018497957
ef4_motif_pos2_R,0.0018137256
pct_R,0.001789338
ef4_motif_pos0_A,0.0017203005
ef2_motif_pos0_P,0.0016883388
ef2_motif_pos2_MISSING,0.0016665293
ef2_motif_pos0_R,0.0016292963
ef_hand_span_fraction,0.0016241843
ef3_motif_pos2_N,0.0015307076
ef1_motif_pos0_T,0.0015129821
ef2_motif_pos0_K,0.0015090293
ef1_motif_pos2_R,0.0013802502
ef4_motif_pos2_P,0.001367105
ef1_motif_pos0_MISSING,0.0013638734
ef3_motif_pos5_T,0.0013393094
pct_E,0.0012839306
ef2_motif_pos0_MISSING,0.0012170577
ef3_motif_pos2_H,0.0012088366
ef1_motif_pos2_H,0.0011702257
ef1_motif_pos2_MISSING,0.001164077
ef2_motif_pos5_T,0.0011382168
ef_hand_mean_spacing,0.0011350529
ef4_motif_pos2_K,0.0010481118
ef2_motif_pos2_A,0.0010176119
ef2_motif_pos0_T,0.0010169268
ef1_motif_pos0_G,0.0010076652
ef2_motif_pos2_N,0.0009478399
ef1_motif_pos5_N,0.00085701584
ef4_motif_pos0_P,0.0008386566
ef3_motif_pos0_T,0.00078853144
ef2_motif_pos2_R,0.0007869042
ef1_motif_pos0_K,0.0007706119
ef3_motif_pos2_A,0.000712353
ef4_motif_pos5_T,0.0006164712
ef3_motif_pos5_D,0.00060681906
ef4_motif_pos2_S,0.00059612474
ef4_motif_pos0_L,0.00056709576
ef3_motif_pos2_K,0.00052043644
ef1_motif_pos0_A,0.00051221077
ef4_motif_pos2_H,0.00049084215
ef1_motif_pos5_A,0.00047017244
ef2_motif_pos2_S,0.0004698614
ef4_motif_pos5_D,0.00043529147
ef2_motif_pos2_E,0.00042386574
ef3_motif_pos2_P,0.00042263904
ef1_motif_pos2_Q,0.00041682046
ef2_motif_pos0_V,0.0003775418
ef1_motif_pos2_D,0.00037567614
ef1_motif_pos5_V,0.00037164806
ef1_motif_pos2_A,0.00035085503
ef2_motif_pos0_G,0.00033978856
ef1_motif_pos0_S,0.000332491
ef1_motif_pos5_S,0.00031695364
ef2_motif_pos5_K,0.0002991986
ef1_motif_pos2_S,0.00026765114
ef2_motif_pos2_G,0.0002366112
ef1_motif_pos2_T,0.00010890179
ef3_motif_pos2_MISSING,6.4494466e-06
ef1_motif_pos5_MISSING,0.0
ef1_motif_pos0_I,0.0
ef3_motif_pos2_M,0.0
ef1_motif_pos5_I,0.0
ef1_motif_pos5_D,0.0
oxidation_state,0.0
ef_hand_count,0.0
has_four_ef_hands,0.0
ef1_motif_pos0_R,0.0
ef2_motif_pos0_L,0.0
ef3_motif_pos0_K,0.0
ef2_motif_pos2_D,0.0
ef2_motif_pos5_D,0.0
ef3_motif_pos5_MISSING,0.0
ef2_motif_pos5_S,0.0
ef2_motif_pos5_MISSING,0.0
ef4_motif_pos2_A,0.0
ef4_motif_pos2_D,0.0
ef4_motif_pos2_G,0.0
ef3_motif_pos5_K,0.0
ef4_motif_pos2_MISSING,0.0
ef3_motif_pos0_N,0.0
ef3_motif_pos0_G,0.0
ef3_motif_pos0_R,0.0
ef3_motif_pos0_V,0.0
ef4_motif_pos2_T,0.0
ef4_motif_pos5_A,0.0
ef3_motif_pos2_Q,0.0
ef4_motif_pos5_E,0.0
ef2_motif_pos2_Q,0.0
ef2_motif_pos2_L,0.0
ef3_motif_pos2_G,0.0
